TRIPID,HHID,PERSID,STARTSTOP,ENDSTOP,STARTIME,ORIGPLACE,ORIGPURP,ORIGSA1_2021,DESTPLACE,DESTPURP,DESTSA1_2021,MAINMODE,MODE1,MODE2,MODE3,MODE4,MODE5,MODE6,MODE7,MODE8,ARRTIME,DURATION,TRAVTIME,CUMDIST,OVERALL_PURPOSE
932371002001,93237,93237/1002,1,1,210,My home,At Home,31802147403,Primary or secondary school,Education,31802146814,Car passenger,Car passenger,,,,,,,,225,450,15,6.79,Education
932371002002,93237,93237/1002,2,2,675,Primary or secondary school,Education,31802146814,My home,Go home,31802147403,Car passenger,Car passenger,,,,,,,,690,,15,6.49,Education
932401001001,93240,93240/1001,1,1,210,My home,At Home,31802147403,My workplace,Work (my workplace),31802147413,Car driver,Car driver,,,,,,,,220,530,10,2.24,Direct Work Commute
932401001002,93240,93240/1001,2,2,750,My workplace,Work (my workplace),31802147413,My home,Go home,31802147403,Car driver,Car driver,,,,,,,,755,,5,2.22,Direct Work Commute
932421000001,93242,93242/1000,1,1,210,My home,At Home,31802147403,My workplace,Work (my workplace),31802147413,Car driver,Car driver,,,,,,,,220,560,10,1.65,Direct Work Commute
932421000002,93242,93242/1000,2,2,780,My workplace,Work (my workplace),31802147413,My home,Go home,31802147403,Car driver,Car driver,,,,,,,,790,,10,1.7,Direct Work Commute
932421001001,93242,93242/1001,1,1,180,My home,At Home,31802147403,My workplace,Work (my workplace),31802147901,Car driver,Car driver,,,,,,,,195,660,15,6.54,Direct Work Commute
932421001002,93242,93242/1001,2,2,855,My workplace,Work (my workplace),31802147901,My home,Go home,31802147403,Car driver,Car driver,,,,,,,,870,,15,6.7,Direct Work Commute
932431000001,93243,93243/1000,1,1,180,My home,At Home,31802147403,Other place (please specify),Recreation/leisure activity,31802147119,Walking,Walking,,,,,,,,210,0,30,2.83,Recreation
932431000002,93243,93243/1000,2,2,210,Other place (please specify),Recreation/leisure activity,31802147119,My home,Go home,31802147403,Walking,Walking,,,,,,,,240,,30,2.83,Recreation
932431001001,93243,93243/1001,1,1,180,My home,At Home,31802147403,Other place (please specify),Recreation/leisure activity,31802147119,Walking,Walking,,,,,,,,210,0,30,2.83,Recreation
932431001002,93243,93243/1001,2,2,210,Other place (please specify),Recreation/leisure activity,31802147119,My home,Go home,31802147403,Walking,Walking,,,,,,,,240,,30,2.83,Recreation
932471000001,93247,93247/1000,1,1,150,My home,At Home,31802147403,My workplace,Work (my workplace),31802146811,Car driver,Car driver,,,,,,,,165,525,15,5.1,Direct Work Commute
932471000002,93247,93247/1000,2,2,690,My workplace,Work (my workplace),31802146811,My home,Go home,31802147403,Car driver,Car driver,,,,,,,,705,,15,4.96,Direct Work Commute
932491000001,93249,93249/1000,1,1,90,My home,At Home,31802147403,My workplace,Work (my workplace),31802148624,Car driver,Car driver,,,,,,,,120,510,30,27.66,Direct Work Commute
932491000002,93249,93249/1000,2,2,630,My workplace,Work (my workplace),31802148624,My home,Go home,31802147403,Car driver,Car driver,,,,,,,,660,60,30,28.15,Direct Work Commute
932491000003,93249,93249/1000,3,3,720,My home,Go home,31802147403,Shop or supermarket,Shopping,31802146828,Car driver,Car driver,,,,,,,,730,10,10,5.21,Shopping
932491000004,93249,93249/1000,4,4,740,Shop or supermarket,Shopping,31802146828,My home,Go home,31802147403,Car driver,Car driver,,,,,,,,750,,10,5.14,Shopping
932511000001,93251,93251/1000,1,1,180,My home,At Home,31802147904,My workplace,Work (my workplace),31802148123,Car driver,Car driver,,,,,,,,195,540,15,7.3,Direct Work Commute
932511000002,93251,93251/1000,2,2,735,My workplace,Work (my workplace),31802148123,My home,Go home,31802147904,Car driver,Car driver,,,,,,,,753,,18,7.36,Direct Work Commute
932521000001,93252,93252/1000,1,1,360,My home,At Home,31802147904,Shop or supermarket,Shopping,31802146714,Car driver,Car driver,,,,,,,,370,65,10,4.08,Shopping
932521000002,93252,93252/1000,2,2,435,Shop or supermarket,Shopping,31802146714,My home,Go home,31802147904,Car driver,Car driver,,,,,,,,455,,20,4.19,Shopping
932571000001,93257,93257/1000,1,1,230,My home,At Home,31802147904,Other work-related place,Pick up or drop off a passenger,31802147510,Car driver,Car driver,,,,,,,,250,2,20,2.93,Pickup/Dropoff Someone
932571000002,93257,93257/1000,2,2,252,Other work-related place,Pick up or drop off a passenger,31802147510,My workplace,Work (my workplace),31802146714,Car driver,Car driver,,,,,,,,260,480,8,4.82,Work Related
932571000003,93257,93257/1000,3,3,740,My workplace,Work (my workplace),31802146714,Other work-related place,Pick up or drop off a passenger,31802147510,Car driver,Car driver,,,,,,,,755,2,15,4.58,Pickup/Dropoff Someone
932571000004,93257,93257/1000,4,4,757,Other work-related place,Pick up or drop off a passenger,31802147510,My home,Go home,31802147904,Car driver,Car driver,,,,,,,,770,,13,2.96,Pickup/Dropoff Someone
932571001001,93257,93257/1001,1,1,230,My home,At Home,31802147904,Other work-related place,Work (my workplace),31802147510,Car passenger,Car passenger,,,,,,,,250,507,20,2.93,Direct Work Commute
932571001002,93257,93257/1001,2,2,757,Other work-related place,Work (my workplace),31802147510,My home,Go home,31802147904,Car passenger,Car passenger,,,,,,,,770,,13,2.96,Direct Work Commute
932581000001,93258,93258/1000,1,1,120,My home,At Home,31802147904,My workplace,Work (my workplace),31802147413,Car driver,Car driver,,,,,,,,132,543,12,7.34,Direct Work Commute
932581000002,93258,93258/1000,2,2,675,My workplace,Work (my workplace),31802147413,My home,Go home,31802147904,Car driver,Car driver,,,,,,,,690,,15,7.54,Direct Work Commute
932621000001,93262,93262/1000,1,1,330,My home,At Home,31802147904,Shop or supermarket,Shopping,31802147510,Car driver,Car driver,,,,,,,,346,9,16,3.7,Shopping
932621000002,93262,93262/1000,2,2,355,Shop or supermarket,Shopping,31802147510,Shop or supermarket,Shopping,31802147607,Car driver,Car driver,,,,,,,,360,20,5,1.45,Shopping
932621000003,93262,93262/1000,3,3,380,Shop or supermarket,Shopping,31802147607,Shop or supermarket,Shopping,31802147510,Car driver,Car driver,,,,,,,,400,52,20,2.17,Shopping
932621000004,93262,93262/1000,4,4,452,Shop or supermarket,Shopping,31802147510,Shop or supermarket,Shopping,31802147510,Car driver,Car driver,,,,,,,,455,40,3,0.26,Shopping
932621000005,93262,93262/1000,5,5,495,Shop or supermarket,Shopping,31802147510,My home,Go home,31802147904,Car driver,Car driver,,,,,,,,510,,15,4.4,Shopping
932621001001,93262,93262/1001,1,1,330,My home,At Home,31802147904,Shop or supermarket,Shopping,31802147510,Car passenger,Car passenger,,,,,,,,346,9,16,3.7,Shopping
932621001002,93262,93262/1001,2,2,355,Shop or supermarket,Shopping,31802147510,Shop or supermarket,Shopping,31802147607,Car passenger,Car passenger,,,,,,,,360,20,5,1.45,Shopping
932621001003,93262,93262/1001,3,3,380,Shop or supermarket,Shopping,31802147607,Shop or supermarket,Shopping,31802147510,Car passenger,Car passenger,,,,,,,,400,52,20,2.17,Shopping
932621001004,93262,93262/1001,4,4,452,Shop or supermarket,Shopping,31802147510,Shop or supermarket,Shopping,31802147510,Car passenger,Car passenger,,,,,,,,455,40,3,0.26,Shopping
932621001005,93262,93262/1001,5,5,495,Shop or supermarket,Shopping,31802147510,My home,Go home,31802147904,Car passenger,Car passenger,,,,,,,,510,,15,4.4,Shopping
932681000001,93268,93268/1000,1,1,180,My home,At Home,31802147904,My campus,Education,31802147411,Car passenger,Car passenger,,,,,,,,192,478,12,7.34,Education
932681000002,93268,93268/1000,2,2,670,My campus,Education,31802147411,My home,Go home,31802147904,Uber / Other Ride Share,Uber / Other Ride Share,,,,,,,,685,,15,7.23,Education
932681001001,93268,93268/1001,1,1,180,My home,At Home,31802147904,My campus,Pick up or drop off a passenger,31802147411,Car driver,Car driver,,,,,,,,192,3,12,7.34,Pickup/Dropoff Someone
932681001002,93268,93268/1001,2,2,195,My campus,Pick up or drop off a passenger,31802147411,My workplace,Work (my workplace),31802148507,Car driver,Car driver,,,,,,,,205,540,10,5.89,Work Related
932681001003,93268,93268/1001,3,3,745,My workplace,Work (my workplace),31802148507,My home,Go home,31802147904,Car driver,Car driver,,,,,,,,760,,15,2.47,Direct Work Commute
932811000001,93281,93281/1000,1,1,645,My home,At Home,31802147915,Other place (please specify),Pick up or drop off a passenger,31802147915,Car passenger,Car passenger,,,,,,,,650,10,5,0.77,Pickup/Dropoff Someone
932811000002,93281,93281/1000,2,2,660,Other place (please specify),Pick up or drop off a passenger,31802147915,Primary or secondary school,Pick up or drop off a passenger,31802147905,Walking,Walking,,,,,,,,662,8,2,0.44,Pickup/Dropoff Someone
932811000003,93281,93281/1000,3,3,670,Primary or secondary school,Pick up or drop off a passenger,31802147905,Car park,Pick up or drop off a passenger,31802147915,Walking,Walking,,,,,,,,672,0,2,0.44,Pickup/Dropoff Someone
932811000004,93281,93281/1000,4,4,672,Car park,Pick up or drop off a passenger,31802147915,Shop or supermarket,Shopping,31802147913,Car passenger,Car passenger,,,,,,,,680,40,8,2.13,Shopping
932811000005,93281,93281/1000,5,5,720,Shop or supermarket,Shopping,31802147913,My home,Go home,31802147915,Car passenger,Car passenger,,,,,,,,730,,10,1.96,Shopping
932811001001,93281,93281/1001,1,1,255,My home,At Home,31802147915,Primary or secondary school,Pick up or drop off a passenger,31802147905,Car driver,Car driver,,,,,,,,265,0,10,1.85,Pickup/Dropoff Someone
932811001002,93281,93281/1001,2,2,265,Primary or secondary school,Pick up or drop off a passenger,31802147905,Shop or supermarket,Eat/drink,31802147515,Car driver,Car driver,,,,,,,,280,10,15,3.4,Shopping
932811001003,93281,93281/1001,3,3,290,Shop or supermarket,Eat/drink,31802147515,My workplace,Work (my workplace),31802147515,Car driver,Car driver,,,,,,,,291,264,1,0.39,Work Related
932811001004,93281,93281/1001,4,4,555,My workplace,Work (my workplace),31802147515,My home,Go home,31802147915,Car driver,Car driver,,,,,,,,565,80,10,2.8,Direct Work Commute
932811001005,93281,93281/1001,5,5,645,My home,Go home,31802147915,Car park,Pick up or drop off a passenger,31802147915,Car driver,Car driver,,,,,,,,650,22,5,0.77,Pickup/Dropoff Someone
932811001006,93281,93281/1001,6,6,672,Car park,Pick up or drop off a passenger,31802147915,Shop or supermarket,Just accompanying someone,31802147913,Car driver,Car driver,,,,,,,,680,40,8,2.13,Accompany Someone
932811001007,93281,93281/1001,7,7,720,Shop or supermarket,Just accompanying someone,31802147913,My home,Go home,31802147915,Car driver,Car driver,,,,,,,,730,,10,1.96,Accompany Someone
932851000001,93285,93285/1000,1,1,390,My home,At Home,31802147915,Shop or supermarket,Shopping,31802147913,Walking,Walking,,,,,,,,410,120,20,1.41,Shopping
932851000002,93285,93285/1000,2,2,530,Shop or supermarket,Shopping,31802147913,My home,Go home,31802147915,Walking,Walking,,,,,,,,560,,30,1.41,Shopping
932891000001,93289,93289/1000,1,1,277,My home,At Home,31802147915,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,285,585,8,4.41,Direct Work Commute
932891000002,93289,93289/1000,2,2,870,My workplace,Work (my workplace),31802147510,My home,Go home,31802147915,Car driver,Car driver,,,,,,,,878,,8,4.34,Direct Work Commute
932901000001,93290,93290/1000,1,1,270,My home,At Home,31802147915,My workplace,Work (my workplace),31802147905,Car driver,Car driver,,,,,,,,272,281,2,0.66,Direct Work Commute
932901000002,93290,93290/1000,2,2,553,My workplace,Work (my workplace),31802147905,My home,Go home,31802147915,Car driver,Car driver,,,,,,,,555,,2,0.64,Direct Work Commute
932911000001,93291,93291/1000,1,1,130,My home,At Home,31802147915,My workplace,Work (my workplace),31802148416,Car driver,Car driver,,,,,,,,150,555,20,11.56,Direct Work Commute
932911000002,93291,93291/1000,2,2,705,My workplace,Work (my workplace),31802148416,My home,Go home,31802147915,Car driver,Car driver,,,,,,,,725,,20,9.95,Direct Work Commute
932961000001,93296,93296/1000,1,1,240,My home,At Home,31802147915,My campus,Education,31802147411,Car driver,Car driver,,,,,,,,260,160,20,9.83,Education
932961000002,93296,93296/1000,2,2,420,My campus,Education,31802147411,My home,Go home,31802147915,Car driver,Car driver,,,,,,,,440,,20,9.58,Education
932981001001,93298,93298/1001,1,1,225,My home,At Home,31802147915,Primary or secondary school,Education,31802147905,Walking,Walking,,,,,,,,265,400,40,0.58,Education
932981001002,93298,93298/1001,2,2,665,Primary or secondary school,Education,31802147905,My home,Go home,31802147915,Walking,Walking,,,,,,,,700,,35,0.58,Education
933051000001,93305,93305/1000,1,1,90,My home,At Home,31802147915,My workplace,Work (my workplace),31802148418,Car driver,Car driver,,,,,,,,100,620,10,6.29,Direct Work Commute
933051000002,93305,93305/1000,2,2,720,My workplace,Work (my workplace),31802148418,My home,Go home,31802147915,Car driver,Car driver,,,,,,,,730,,10,6.28,Direct Work Commute
933131000001,93313,93313/1000,1,1,240,My home,At Home,31802148234,Primary or secondary school,Pick up or drop off a passenger,31802147601,Car driver,Car driver,,,,,,,,255,0,15,7.36,Pickup/Dropoff Someone
933131000002,93313,93313/1000,2,2,255,Primary or secondary school,Pick up or drop off a passenger,31802147601,Primary or secondary school,Pick up or drop off a passenger,31802147905,Car driver,Car driver,,,,,,,,260,2,5,2.71,Pickup/Dropoff Someone
933131000003,93313,93313/1000,3,3,262,Primary or secondary school,Pick up or drop off a passenger,31802147905,My workplace,Work (my workplace),31802148710,Car driver,Car driver,,,,,,,,272,353,10,5.84,Work Related
933131000004,93313,93313/1000,4,4,625,My workplace,Work (my workplace),31802148710,Primary or secondary school,Pick up or drop off a passenger,31802147905,Car driver,Car driver,,,,,,,,635,0,10,6.38,Pickup/Dropoff Someone
933131000005,93313,93313/1000,5,5,635,Primary or secondary school,Pick up or drop off a passenger,31802147905,Primary or secondary school,Pick up or drop off a passenger,31802147601,Car driver,Car driver,,,,,,,,640,0,5,2.33,Pickup/Dropoff Someone
933131000006,93313,93313/1000,6,6,640,Primary or secondary school,Pick up or drop off a passenger,31802147601,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,655,,15,7.29,Pickup/Dropoff Someone
933131002001,93313,93313/1002,1,1,240,My home,At Home,31802148234,Primary or secondary school,Education,31802147601,Car passenger,Car passenger,,,,,,,,255,385,15,7.36,Education
933131002002,93313,93313/1002,2,2,640,Primary or secondary school,Education,31802147601,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,655,,15,7.29,Education
933131003001,93313,93313/1003,1,1,240,My home,At Home,31802148234,Primary or secondary school,Just accompanying someone,31802147601,Car passenger,Car passenger,,,,,,,,255,0,15,7.36,Accompany Someone
933131003002,93313,93313/1003,2,2,255,Primary or secondary school,Just accompanying someone,31802147601,Primary or secondary school,Education,31802147905,Car passenger,Car passenger,,,,,,,,260,375,5,2.71,Education
933131003003,93313,93313/1003,3,3,635,Primary or secondary school,Education,31802147905,Primary or secondary school,Just accompanying someone,31802147601,Car passenger,Car passenger,,,,,,,,640,0,5,2.33,Accompany Someone
933131003004,93313,93313/1003,4,4,640,Primary or secondary school,Just accompanying someone,31802147601,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,655,,15,7.29,Accompany Someone
933141000001,93314,93314/1000,1,1,380,My home,At Home,31802148234,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,395,295,15,2.43,Shopping
933141000002,93314,93314/1000,2,2,690,Shop or supermarket,Shopping,31802148246,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,705,,15,2.48,Shopping
933141001001,93314,93314/1001,1,1,380,My home,At Home,31802148234,Shop or supermarket,Shopping,31802148246,Car passenger,Car passenger,,,,,,,,395,295,15,2.43,Shopping
933141001002,93314,93314/1001,2,2,690,Shop or supermarket,Shopping,31802148246,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,705,,15,2.48,Shopping
933141002001,93314,93314/1002,1,1,380,My home,At Home,31802148234,Shop or supermarket,Shopping,31802148246,Car passenger,Car passenger,,,,,,,,395,295,15,2.43,Shopping
933141002002,93314,93314/1002,2,2,690,Shop or supermarket,Shopping,31802148246,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,705,,15,2.48,Shopping
933161000001,93316,93316/1000,1,1,420,My home,At Home,31802148234,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,430,240,10,2.31,Shopping
933161000002,93316,93316/1000,2,2,670,Shop or supermarket,Shopping,31802148246,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,690,,20,2.36,Shopping
933161001001,93316,93316/1001,1,1,270,My home,At Home,31802148234,My workplace,Work (my workplace),31802147812,Car driver,Car driver,,,,,,,,285,575,15,9.47,Direct Work Commute
933161001002,93316,93316/1001,2,2,860,My workplace,Work (my workplace),31802147812,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,885,,25,9.19,Direct Work Commute
933171000001,93317,93317/1000,1,1,275,My home,At Home,31802148234,Shop or supermarket,Shopping,31802147214,Car passenger,Car passenger,,,,,,,,285,70,10,4.94,Shopping
933171000002,93317,93317/1000,2,2,355,Shop or supermarket,Shopping,31802147214,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,367,,12,4.78,Shopping
933171001001,93317,93317/1001,1,1,275,My home,At Home,31802148234,Shop or supermarket,Shopping,31802147214,Car driver,Car driver,,,,,,,,285,70,10,4.94,Shopping
933171001002,93317,93317/1001,2,2,355,Shop or supermarket,Shopping,31802147214,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,367,,12,4.78,Shopping
933181001001,93318,93318/1001,1,1,240,My home,At Home,31802148234,My workplace,Work (my workplace),31802146704,Car driver,Car driver,,,,,,,,250,500,10,5.83,Direct Work Commute
933181001002,93318,93318/1001,2,2,750,My workplace,Work (my workplace),31802146704,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,764,,14,5.58,Direct Work Commute
933221000001,93322,93322/1000,1,1,390,My home,At Home,31802148234,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,405,225,15,2.17,Shopping
933221000002,93322,93322/1000,2,2,630,Shop or supermarket,Shopping,31802148246,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,645,,15,2.22,Shopping
933221001001,93322,93322/1001,1,1,390,My home,At Home,31802148234,Shop or supermarket,Shopping,31802148246,Car passenger,Car passenger,,,,,,,,405,225,15,2.17,Shopping
933221001002,93322,93322/1001,2,2,630,Shop or supermarket,Shopping,31802148246,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,645,,15,2.22,Shopping
933251000001,93325,93325/1000,1,1,465,My home,At Home,31802148234,"Restaurant, caf̩, or food outlet",Eat/drink,31802148011,Car driver,Car driver,,,,,,,,480,140,15,10.39,Shopping
933251000002,93325,93325/1000,2,2,620,"Restaurant, caf̩, or food outlet",Eat/drink,31802148011,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,638,,18,10.39,Shopping
933271000001,93327,93327/1000,1,1,420,My home,At Home,31802148234,Shop or supermarket,Shopping,31802148235,Walking,Walking,,,,,,,,428,102,8,0.56,Shopping
933271000002,93327,93327/1000,2,2,530,Shop or supermarket,Shopping,31802148235,My home,Go home,31802148234,Walking,Walking,,,,,,,,540,,10,0.56,Shopping
933281000001,93328,93328/1000,1,1,255,My home,At Home,31802148234,Primary or secondary school,Pick up or drop off a passenger,31802148123,Car driver,Car driver,,,,,,,,260,0,5,2.11,Pickup/Dropoff Someone
933281000002,93328,93328/1000,2,2,260,Primary or secondary school,Pick up or drop off a passenger,31802148123,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,270,52,10,2.15,Pickup/Dropoff Someone
933281000003,93328,93328/1000,3,3,322,My home,Go home,31802148234,Other place (please specify),Personal business,31802148212,Car driver,Car driver,,,,,,,,330,135,8,1.86,Personal Business
933281000004,93328,93328/1000,4,4,465,Other place (please specify),Personal business,31802148212,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,470,160,5,1.73,Personal Business
933281000005,93328,93328/1000,5,5,630,My home,Go home,31802148234,Primary or secondary school,Pick up or drop off a passenger,31802148123,Car driver,Car driver,,,,,,,,637,38,7,2.11,Pickup/Dropoff Someone
933281000006,93328,93328/1000,6,6,675,Primary or secondary school,Pick up or drop off a passenger,31802148123,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,690,,15,2.15,Pickup/Dropoff Someone
933281001001,93328,93328/1001,1,1,255,My home,At Home,31802148234,Primary or secondary school,Education,31802148123,Car passenger,Car passenger,,,,,,,,260,415,5,2.11,Education
933281001002,93328,93328/1001,2,2,675,Primary or secondary school,Education,31802148123,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,690,,15,2.15,Education
933281002001,93328,93328/1002,1,1,255,My home,At Home,31802148234,Primary or secondary school,Education,31802148123,Car passenger,Car passenger,,,,,,,,260,415,5,2.11,Education
933281002002,93328,93328/1002,2,2,675,Primary or secondary school,Education,31802148123,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,690,,15,2.15,Education
933291000001,93329,93329/1000,1,1,180,My home,At Home,31802148234,My workplace,Work (my workplace),31802148212,Car driver,Car driver,,,,,,,,195,413,15,2.14,Direct Work Commute
933291000002,93329,93329/1000,2,2,608,My workplace,Work (my workplace),31802148212,Other work-related place,Pick up or drop off a passenger,31802147413,Car driver,Car driver,,,,,,,,630,60,22,6.5,Pickup/Dropoff Someone
933291000003,93329,93329/1000,3,3,690,Other work-related place,Pick up or drop off a passenger,31802147413,My workplace,Work (my workplace),31802148212,Car driver,Car driver,,,,,,,,705,45,15,6.93,Work Related
933291000004,93329,93329/1000,4,4,750,My workplace,Work (my workplace),31802148212,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,770,,20,2.1,Direct Work Commute
933291001001,93329,93329/1001,1,1,240,My home,At Home,31802148234,Primary or secondary school,Pick up or drop off a passenger,31802148221,Car driver,Car driver,,,,,,,,250,0,10,3.08,Pickup/Dropoff Someone
933291001002,93329,93329/1001,2,2,250,Primary or secondary school,Pick up or drop off a passenger,31802148221,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,255,20,5,1.42,Shopping
933291001003,93329,93329/1001,3,3,275,Shop or supermarket,Shopping,31802148246,Shop or supermarket,Shopping,31802147913,Car driver,Car driver,,,,,,,,285,165,10,10,Shopping
933291001004,93329,93329/1001,4,4,450,Shop or supermarket,Shopping,31802147913,Shop or supermarket,Shopping,31802147510,Car driver,Car driver,,,,,,,,466,4,16,2.57,Shopping
933291001005,93329,93329/1001,5,5,470,Shop or supermarket,Shopping,31802147510,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,486,199,16,6.87,Shopping
933291001006,93329,93329/1001,6,6,685,My home,Go home,31802148234,Primary or secondary school,Pick up or drop off a passenger,31802148221,Car driver,Car driver,,,,,,,,690,0,5,3.08,Pickup/Dropoff Someone
933291001007,93329,93329/1001,7,7,690,Primary or secondary school,Pick up or drop off a passenger,31802148221,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,700,,10,3.07,Pickup/Dropoff Someone
933291002001,93329,93329/1002,1,1,240,My home,At Home,31802148234,Primary or secondary school,Education,31802148221,Car passenger,Car passenger,,,,,,,,250,440,10,3.08,Education
933291002002,93329,93329/1002,2,2,690,Primary or secondary school,Education,31802148221,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,700,,10,3.07,Education
933301000001,93330,93330/1000,1,1,240,My home,At Home,31802148234,My workplace,Work (my workplace),31802149008,Car driver,Car driver,,,,,,,,269,271,29,13.08,Direct Work Commute
933301000002,93330,93330/1000,2,2,540,My workplace,Work (my workplace),31802149008,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,569,,29,12.97,Direct Work Commute
933311000001,93331,93331/1000,1,1,267,My home,At Home,31802148234,Primary or secondary school,Pick up or drop off a passenger,31802148232,Car driver,Car driver,,,,,,,,270,0,3,1.02,Pickup/Dropoff Someone
933311000002,93331,93331/1000,2,2,270,Primary or secondary school,Pick up or drop off a passenger,31802148232,My workplace,Work (my workplace),31802147413,Car driver,Car driver,,,,,,,,290,340,20,6.61,Work Related
933311000003,93331,93331/1000,3,3,630,My workplace,Work (my workplace),31802147413,Primary or secondary school,Work (my workplace),31802148232,Car driver,Car driver,,,,,,,,650,20,20,7.08,Work Related
933311000004,93331,93331/1000,4,4,670,Primary or secondary school,Work (my workplace),31802148232,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,675,,5,1.02,Direct Work Commute
933311001001,93331,93331/1001,1,1,267,My home,At Home,31802148234,Primary or secondary school,Education,31802148232,Car passenger,Car passenger,,,,,,,,270,400,3,1.02,Education
933311001002,93331,93331/1001,2,2,670,Primary or secondary school,Education,31802148232,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,675,,5,1.02,Education
933311002001,93331,93331/1002,1,1,267,My home,At Home,31802148234,Primary or secondary school,Education,31802148232,Car passenger,Car passenger,,,,,,,,270,400,3,1.02,Education
933311002002,93331,93331/1002,2,2,670,Primary or secondary school,Education,31802148232,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,675,,5,1.02,Education
933331000001,93333,93333/1000,1,1,120,My home,At Home,31802148234,My workplace,Work (my workplace),31802147411,Car driver,Car driver,,,,,,,,135,505,15,7.47,Direct Work Commute
933331000002,93333,93333/1000,2,2,640,My workplace,Work (my workplace),31802147411,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,660,90,20,7.24,Direct Work Commute
933331000003,93333,93333/1000,3,3,750,My home,Go home,31802148234,Shop or supermarket,Shopping,31802148235,Car driver,Car driver,,,,,,,,755,60,5,0.71,Shopping
933331000004,93333,93333/1000,4,4,815,Shop or supermarket,Shopping,31802148235,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,820,,5,0.5,Shopping
933331001001,93333,93333/1001,1,1,750,My home,At Home,31802148234,Shop or supermarket,Shopping,31802148235,Car passenger,Car passenger,,,,,,,,755,60,5,0.71,Shopping
933331001002,93333,93333/1001,2,2,815,Shop or supermarket,Shopping,31802148235,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,820,,5,0.5,Shopping
933361000001,93336,93336/1000,1,1,840,My home,At Home,31802148234,"Restaurant, caf̩, or food outlet",Eat/drink,31802147119,Car passenger,Car passenger,,,,,,,,855,75,15,2.44,Shopping
933361000002,93336,93336/1000,2,2,930,"Restaurant, caf̩, or food outlet",Eat/drink,31802147119,Other place (please specify),Pick up or drop off a passenger,31802147514,Car passenger,Car passenger,,,,,,,,940,30,10,10.83,Pickup/Dropoff Someone
933361000003,93336,93336/1000,3,3,970,Other place (please specify),Pick up or drop off a passenger,31802147514,My home,Go home,31802148234,Car passenger,Car passenger,,,,,,,,990,,20,9.5,Pickup/Dropoff Someone
933361001001,93336,93336/1001,1,1,840,My home,At Home,31802148234,"Restaurant, caf̩, or food outlet",Eat/drink,31802147119,Car driver,Car driver,,,,,,,,855,75,15,2.44,Shopping
933361001002,93336,93336/1001,2,2,930,"Restaurant, caf̩, or food outlet",Eat/drink,31802147119,Other place (please specify),Pick up or drop off a passenger,31802147514,Car driver,Car driver,,,,,,,,940,30,10,10.83,Pickup/Dropoff Someone
933361001003,93336,93336/1001,3,3,970,Other place (please specify),Pick up or drop off a passenger,31802147514,My home,Go home,31802148234,Car driver,Car driver,,,,,,,,990,,20,9.5,Pickup/Dropoff Someone
933391000001,93339,93339/1000,1,1,230,My home,At Home,31802148234,My workplace,Work (my workplace),31802148214,Car driver,Car driver,,,,,,,,235,305,5,1.48,Direct Work Commute
933391000002,93339,93339/1000,2,2,540,My workplace,Work (my workplace),31802148214,"Restaurant, caf̩, or food outlet",Eat/drink,31802148246,Car driver,Car driver,,,,,,,,545,40,5,0.9,Shopping
933391000003,93339,93339/1000,3,3,585,"Restaurant, caf̩, or food outlet",Eat/drink,31802148246,My workplace,Work (my workplace),31802148214,Car driver,Car driver,,,,,,,,595,125,10,1.47,Work Related
