HHID,PERSID,AGEGROUP,SEX,RELATIONSHIP,CARLICENCE,CARLICTYPE,MCLICENCE,MCLICTYPE,OTHERLICENCE,WORKSTATUS,ANZSCO_1-digit,ANZSCO_3-digit,INDUSTRY,STUDYING,ED_TYPE,MAINACT,STARTPLACE,ANYSTOPS,LASTLEFT,ASSISTAGE,ASSISTLTHC,ASSISTSTHC,ASSISTDISABILITY,ASSISTENGLISH,ASSISTOTHER,ASSISTANY,WFHDAY,WFHWEEK,WFHCORONA,NQSTADIUMATTEND,NQSTADIUMYEAR,NQSTADIUMEVENT,NQSTADIUMDRIVER,NQSTADIUMEVENTOTHER,NQSTADIUMPASSENGER,NQSTADIUMEVENTSHUTTLE,NQSTADIUMPUBLICBUS,NQSTADIUMUBERTAXI,NQSTADIUMBICYCLE,NQSTADIUMWALK,DEMOGWGT20,PERSWGT20
93686,93686/1000,7,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,2,241,education,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,,,,,,,,,,,,,,1.159203172,29.32644844
93686,93686/1001,7,female,spouse,TRUE,fullLicence,FALSE,,FALSE,workFullTime,2,252,health,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,,,,,,,,,,,,,,0.939867496,23.77751923
93688,93688/1000,14,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,FALSE,,,,,,,,0,FALSE,,,,,,,,,,,,,,0.915881872,21.22894287
93692,93692/1000,7,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,8,800,construction,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.159203172,35.2912674
93692,93692/1001,6,female,spouse,TRUE,fullLicence,FALSE,,FALSE,workPartTime,2,254,health,,,Part-time Work,home,FALSE,5/4/2021 0:00,,,,,,,0,FALSE,,,,,,,,,,,,,,1.321639419,40.23654175
93692,93692/1002,1,female,child,FALSE,,FALSE,,FALSE,,,,,childcare,,Childcare/Kindergarten,,TRUE,,,,,,,,0,FALSE,,,,,,,,,,,,,,1.426358938,43.42466736
93693,93693/1000,16,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,FALSE,,,,,,,,0,FALSE,,,,,,,,,,,,,,1.178149343,27.3079586
93698,93698/1000,8,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,3,300,construction,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.012258768,25.6089325
93698,93698/1001,8,female,spouse,TRUE,fullLicence,FALSE,,FALSE,workPartTime,4,411,health,,,Part-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.084623694,27.43967819
93701,93701/1000,11,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,,,it,,,Full-time Work,home,TRUE,,,,,,,,0,TRUE,5,5,0,,,,,,,,,,,1.209921598,30.60956383
93701,93701/1001,18,female,parent,FALSE,,FALSE,,FALSE,retired,,,,,,Retired,home,FALSE,5/2/2021 0:00,,,,,,,0,FALSE,,,0,,,,,,,,,,,2.295059204,58.06224442
93704,93704/1000,9,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,1,100,admin,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2020,football,,,,1,,,,,1.22006011,28.27939415
93705,93705/1000,6,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,2,261,it,,,Full-time Work,home,TRUE,,,,,,,,0,TRUE,5,5,0,,,,,,,,,,,1.402965784,32.51890945
93706,93706/1000,17,male,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.956150413,24.18945885
