HHID,HHSIZE,BIKES,HHVEH,EBIKES,ESCOOTER,DWELLTYPE,SURVEYWEEK,STRATA_LGA,TRAVDATE,TRAVMONTH,TRAVYEAR,TRAVDOW,HOME_SA1_2021,HHWGT_20
92810,2,5,2,0,0,Separate house,12,11,22,2,2021,1,31802148710,25.29879984
92817,2,1,2,0,0,Separate house,12,11,24,2,2021,3,31802148710,25.29879984
92819,5,5,2,0,0,Separate house,12,11,26,2,2021,5,31802148710,51.10563103
92821,3,0,2,0,0,Separate house,12,11,23,2,2021,2,31802148710,30.44441848
92823,4,0,3,0,0,Separate house,12,11,25,2,2021,4,31802148710,38.1196772
92824,3,3,1,0,1,Separate house,12,11,26,2,2021,5,31802148710,30.44441848
92826,2,1,2,0,0,Separate house,12,11,23,2,2021,2,31802148710,25.29879984
92829,2,2,2,0,0,Separate house,12,11,26,2,2021,5,31802148710,25.29879984
92830,2,0,2,0,0,,13,11,2,3,2021,2,31802147109,25.29879984
92836,2,0,2,0,0,Separate house,13,11,3,3,2021,3,31802147109,25.29879984
92841,2,2,2,0,0,Separate house,13,11,3,3,2021,3,31802147109,25.29879984
92842,1,0,1,0,0,Separate house,13,11,4,3,2021,4,31802147109,23.17869001
92844,2,0,2,0,0,,13,11,1,3,2021,1,31802147109,25.29879984
92846,2,0,5,0,0,,13,11,3,3,2021,3,31802147109,25.29879984
92847,4,0,4,0,0,Separate house,13,11,4,3,2021,4,31802147109,38.1196772
92850,2,1,5,0,0,Separate house,13,11,2,3,2021,2,31802147109,25.29879984
92851,5,0,2,0,0,Separate house,13,11,3,3,2021,3,31802147109,51.10563103
92852,3,1,2,0,0,Separate house,13,11,4,3,2021,4,31802147109,30.44441848
92854,1,0,1,0,0,,13,11,1,3,2021,1,31802147109,23.17869001
92857,2,0,1,0,0,Separate house,13,11,4,3,2021,4,31802147109,25.29879984
92862,2,0,1,0,0,,13,11,4,3,2021,4,31802147604,25.29879984
92864,1,0,1,0,0,,13,11,1,3,2021,1,31802147604,23.17869001
92866,4,1,2,0,0,,13,11,3,3,2021,3,31802147604,38.1196772
92871,2,0,2,1,0,,13,11,3,3,2021,3,31802147604,25.29879984
92872,4,0,2,1,0,,13,11,4,3,2021,4,31802147604,38.1196772
92873,2,1,2,0,0,,13,11,5,3,2021,5,31802147604,25.29879984
92875,4,1,3,1,0,,13,11,2,3,2021,2,31802147604,38.1196772
92877,1,1,1,1,0,,13,11,4,3,2021,4,31802147604,23.17869001
92881,1,0,1,0,0,,13,11,3,3,2021,3,31802147604,23.17869001
92882,1,0,0,1,1,,13,11,4,3,2021,4,31802147604,23.17869001
92886,1,1,1,1,0,,13,11,3,3,2021,3,31802147604,23.17869001
92887,1,0,0,0,1,,13,11,4,3,2021,4,31802147604,23.17869001
92888,2,2,2,1,0,,13,11,5,3,2021,5,31802147604,25.29879984
92889,1,0,1,1,0,,13,11,1,3,2021,1,31802147604,23.17869001
92896,2,1,3,0,0,,13,11,3,3,2021,3,31802148808,25.29879984
92897,1,0,1,0,0,,13,11,4,3,2021,4,31802148808,23.17869001
92899,3,0,2,0,0,Separate house,13,11,1,3,2021,1,31802148808,30.44441848
92901,1,0,2,0,0,Separate house,13,11,3,3,2021,3,31802148808,23.17869001
92904,1,1,1,0,0,Separate house,13,11,1,3,2021,1,31802148808,23.17869001
92914,3,3,1,0,0,Separate house,13,11,1,3,2021,1,31802148808,30.44441848
92917,3,0,1,0,0,"Semi-detached house, terrace house, townhouse, etc.",13,11,4,3,2021,4,31802148808,30.44441848
92918,2,0,2,0,0,"Semi-detached house, terrace house, townhouse, etc.",13,11,5,3,2021,5,31802148808,25.29879984
